Property Name,date,price
Albany Room,2024-12-10,61000
Amani Room,2024-12-10,33200
Amani Premium Room,2024-12-10,33200
Amani Premium Room,2024-12-11,33200
Amani Premium Room,2024-12-12,33300
Amani Premium Room,2024-12-13,36600
Albany Room,2024-12-14,73300
Amani Premium Room,2024-12-14,44500
Airyland Room,2024-12-15,119700
Airyland Room,2024-12-15,102700
Airyland Room,2024-12-15,85600
Albany Room,2024-12-15,76300
Amani Room,2024-12-15,46400
Amani Premium Room,2024-12-15,46400
Airyland Room,2024-12-16,93500
Airyland Room,2024-12-16,80200
Airyland Room,2024-12-16,66900
Albany Room,2024-12-16,60200
Amani Room,2024-12-16,36600
Amani Premium Room,2024-12-16,36600
Airyland Room,2024-12-17,84300
Airyland Room,2024-12-17,72300
Albany Room,2024-12-17,61000
Airyland Room,2024-12-17,60300
Amani Room,2024-12-17,33300
Amani Premium Room,2024-12-17,33300
Airyland Room,2024-12-18,84300
Airyland Room,2024-12-18,72300
Airyland Room,2024-12-18,60300
Amani Room,2024-12-18,33300
Amani Premium Room,2024-12-18,33300
Airyland Room,2024-12-19,84300
Airyland Room,2024-12-19,72300
Airyland Room,2024-12-19,60300
Amani Room,2024-12-19,33300
Amani Premium Room,2024-12-19,33300
Airyland Room,2024-12-20,118200
Airyland Room,2024-12-20,118200
Airyland Room,2024-12-20,118200
Amani Room,2024-12-20,40500
Amani Premium Room,2024-12-20,40500
Airyland Room,2024-12-21,126000
Airyland Room,2024-12-21,126000
Airyland Room,2024-12-21,126000
Amani Room,2024-12-21,43200
Amani Premium Room,2024-12-21,43200
Airyland Room,2024-12-22,112400
Airyland Room,2024-12-22,112400
Airyland Room,2024-12-22,112400
Albany Room,2024-12-22,77100
Amani Room,2024-12-22,38600
Amani Premium Room,2024-12-22,38600
Airyland Room,2024-12-23,105000
Airyland Room,2024-12-23,105000
Airyland Room,2024-12-23,105000
Albany Room,2024-12-23,72000
Amani Room,2024-12-23,36000
Amani Premium Room,2024-12-23,36000
Airyland Room,2024-12-24,105000
Airyland Room,2024-12-24,105000
Airyland Room,2024-12-24,105000
Amani Room,2024-12-24,36000
Amani Premium Room,2024-12-24,36000
Airyland Room,2024-12-25,119000
Airyland Room,2024-12-25,119000
Airyland Room,2024-12-25,119000
Amani Room,2024-12-25,40800
Amani Premium Room,2024-12-25,40800
Airyland Room,2024-12-26,112400
Airyland Room,2024-12-26,112400
Airyland Room,2024-12-26,112400
Airyland Room,2024-12-27,118200
Airyland Room,2024-12-27,118200
Airyland Room,2024-12-27,118200
Albany Room,2024-12-27,81000
Airyland Room,2024-12-28,126000
Airyland Room,2024-12-28,126000
Airyland Room,2024-12-28,126000
Airyland Room,2024-12-29,112400
Airyland Room,2024-12-29,112400
Airyland Room,2024-12-29,112400
Amani Room,2024-12-29,38600
Amani Premium Room,2024-12-29,38600
Airyland Room,2024-12-30,133000
Airyland Room,2024-12-30,133000
Airyland Room,2024-12-30,133000
Amani Room,2024-12-30,45600
Amani Premium Room,2024-12-30,45600
Airyland Room,2024-12-31,175000
Airyland Room,2024-12-31,175000
Airyland Room,2024-12-31,175000
Amani Premium Room,2024-12-31,60000
Amani Room,2024-12-31,60000
Airyland Room,2025-01-01,133000
Airyland Room,2025-01-01,133000
Airyland Room,2025-01-01,133000
Albany Room,2025-01-01,91200
Amani Room,2025-01-01,45600
Amani Premium Room,2025-01-01,45600
Airyland Room,2025-01-02,112400
